station_number,LAT,LONG,EASTING,NORTHING
BadMed01,47.14551533,-95.37395044,320013.4365,5224069.108
BadMed10,47.13732546,-95.37895327,319606.4364,5223170.572
BadMed14,47.13590646,-95.38213599,319360.2962,5223020.243
BadMed16,47.13060501,-95.38667682,318997.9789,5222441.645
BadMed28,47.11461379,-95.41220978,317006.8249,5220724.141
BadMed29,47.11996433,-95.40810803,317336.2968,5221309.105
BadMed30,47.10773866,-95.41822121,316527.1715,5219974.26
BadMed38,47.10310306,-95.41881055,316466.5188,5219460.53
BadMed02,47.14282474,-95.38097591,319471.6935,5223786.335
BadMed03,47.14280802,-95.37611787,319839.9635,5223773.262
BadMed04,47.13996541,-95.38270106,319331.2048,5223472.589
BadMed05,47.14046128,-95.3773786,319736.4413,5223515.396
BadMed06,47.14018834,-95.37420843,319975.8859,5223477.756
BadMed07,47.13694746,-95.38905166,318839.434,5223151.934
BadMed08,47.13645967,-95.38621833,319052.6192,5223091.164
BadMed09,47.13734215,-95.38281109,319313.9708,5223181.341
BadMed11,47.13283903,-95.39622821,318281.2604,5222712.064
BadMed12,47.13447998,-95.3921627,318595.1397,5222884.962
BadMed13,47.13481049,-95.38845032,318877.7714,5222913.076
BadMed15,47.13194252,-95.39001796,318749.1491,5222598.017
BadMed17,47.1278474,-95.40201679,317825.2476,5222170.865
BadMed18,47.13031527,-95.39916749,318049.7569,5222438.46
BadMed19,47.12961935,-95.39250592,318552.5735,5222345.637
BadMed20,47.12567161,-95.40584474,317527.4946,5221938.019
BadMed21,47.12757194,-95.39639255,318250.8465,5222127.158
BadMed22,47.12271253,-95.40585169,317516.8433,5221609.218
BadMed23,47.12700625,-95.40038705,317945.9742,5222073.596
BadMed24,47.11447002,-95.40900799,317249.2137,5220700.673
BadMed25,47.12267595,-95.40189178,317817.0635,5221595.913
BadMed26,47.11706228,-95.40949175,317221.3979,5220989.86
BadMed27,47.11978781,-95.4040695,317642.0173,5221280.058
BadMed31,47.11030657,-95.41513804,316769.9023,5220252.377
BadMed32,47.11198278,-95.41196417,317016.4333,5220431.204
BadMed33,47.1174502,-95.4067212,317432.8841,5221026.49
BadMed37,47.10557773,-95.41990088,316392.3043,5219738.079
BadMed39,47.10910623,-95.41283145,316940.7718,5220113.589
BadMed40,47.10646568,-95.41492769,316772.6728,5219825.079
BadMed41,47.10415002,-95.41753865,316566.6216,5219573.884
